"ID","Amount","BookName","Authors","Supporter","Publisher","Year","ISBN","ClassificationNumber","Tags"
,,"台灣植被誌(第二卷):高山植被帶與高山植物(上)","陳玉峰",,"晨星","1997年","957-583-566-2",,"植物,臺灣"
,,"台灣植被誌(第二卷):高山植被帶與高山植物(下)","陳玉峰",,"晨星","1997年","957-583-567-0",,"植物,臺灣"
,,"台灣植被誌(第三卷)亞高山冷山林帶與高地草原(上)","陳玉峰",,"前衛","1998年","957-801-181-4",,"植物,臺灣"
,,"台灣植被誌(第三卷)亞高山冷山林帶與高地草原(下)","陳玉峰",,"前衛","1998年","957-801-182-2",,"植物,臺灣"
,,"台灣植被誌(第四卷)檜木霧林帶","陳玉峰",,"前衛","2001年","957-801-334-5",,"植物,臺灣"
,,"台灣植被誌.第五卷，台灣鐵杉林帶(上)","陳玉峰",,"前衛","2004年","957-801-448-1",,"植物,臺灣"
,,"台灣植被誌.第五卷，台灣鐵杉林帶(下)","陳玉峰",,"前衛","2004年","957-801-449-X",,"植物,臺灣"
,,"台灣植被誌.第六卷，闊葉林(一):南橫專冊","陳玉峰",,"前衛","2006年","978-957-801-501-2",,"植物,臺灣"
,,"台灣植被誌.第六卷，闊葉林(二)上冊","陳玉峰",,"前衛","2007年","978-957-801-522-7",,"植物,臺灣"
,,"台灣植被誌.第六卷，闊葉林(二)下冊","陳玉峰",,"前衛","2007年","978-957-801-523-4",,"植物,臺灣"
,,"台灣植被誌，第九卷，物種生態誌(一)","陳玉峰",,"前衛","2007年","978-957-801-545-6",,"植物,臺灣"
,,"台灣好野菜 : 二十四節氣田邊食","種籽節氣飲食研究室",,"晨星","2013年","978-986-177-755-9",427.3,"蔬菜食譜"
,,"春夏秋冬-天文星座觀測趣","藤井旭",,"瑞昇文化","2012年","978-986-294-041-9",,"星座,天象"
,,"訪古‧台南‧行-府城手繪書","陳貴芳、李慧玲",,"玉山社","2012年","978-986-6185-23-6",,"旅遊,臺南市"
,,"花草茶","佐ヶ木熏",,"太雅","2002年","957-8576-48-X",,"茶"
,,"原生蔬菜栽培繁殖及料理應用介紹","薛銘童、吳菁菁、蘇玲珠","山林復育協會","行政院農業委員會臺東區農場改良場","104年","1010402347","無分類號","蔬菜,栽培,蔬菜食譜"
,,"大坑一號步道導覽手冊",,,,,,,
,,"夜行性動物全集","JIM PIPE",,"小牛津國際文化有限公司","1999年","957-97934-4-1",,
,,"叢林動物全集","JIM PIPE",,"小牛津國際文化有限公司","1999年","957-97934-6-8",,
,,"鳥類地圖集","芭芭拉‧泰勒、理查‧奧爾",,"台灣英文雜誌社有限公司","1994年","957-632-274-4-X",,
,,"夏天的故事","張志蕙",,"行政院環境保護署","1996年",,,
,,"翻滾吧!鱸鰻","張恒嘉、葉佳幸",,"台灣永續聯盟","2011年","978-986-84079-4-7",,"鰻"
,,"微醺紫蝶","張恒嘉、蔡佳蓉、陳亭余",,"農委會林務局","2013年","978-986-03-8961-6",,"蝴蝶,臺灣"
,,"生態大發現1-生命怎麼來的?","JEAN-BENOÎT DURAND",,"鄉宇文化","2007年","957-28385-5-5",,"生命科學,通俗作品"
,,"生態大發現2-地球，你好嗎?","FRANÇOIS MICHEL",,"鄉宇文化","2007年","957-28385-5-5",,"環境科學,通俗作品,環境保護"
,,"生態大發現3-我們都是水做的","FRANÇOIS MICHEL",,"鄉宇文化","2007年","957-28385-5-5",,"水,通俗作品"
,,"生態大發現4-活在鹽的世界裡","NATHALIE TORDIMAN",,"鄉宇文化","2007年","957-28385-5-5",,"鹽,通俗作品"
,,"生態大發現5-有個性的太陽","MICHÈLE MIRA PONS",,"鄉宇文化","2007年","957-28385-5-5",,"太陽,通俗作品"
,,"生態大發現6-能源停看聽","FRANÇOIS MICHEL",,"鄉宇文化","2007年","957-28385-5-5",,"能源,通俗作品"
,,"螃蟹過馬路","玉米辰",,"木田工場有限公司","2009年","978-986-85353-1-2",,
,,"廖添丁","魏吟冰",,"木田工場有限公司","2010年","978-986-85353-2-9",,
,,"老鼠娶親","玉米辰、林均品",,"木田工場有限公司","2010年","978-986-85353-3-6",,
,,"虎姑婆","玉米辰",,"木田工場有限公司","2010年","978-986-85353-4-3",,
,,"老祖宗的交代","玉米辰",,"木田工場有限公司","2012年","978-986-85353-5-0",,
,,"海底變形蟲","玉米辰",,"木田工場有限公司","2012年","978-986-85353-7-4",,
,,"好觀點系列1 是誰偷尿尿?","玉米辰",,"淘花源文化事業股份有限公司","2008年","978-986-84172-0-5",,
,,"好觀點系列4 天空金城","玉米辰",,"木田工場有限公司","2013年","978-986-85353-8-1",,
,,"好觀點系列6 青蛙不必變王子","玉米辰",,"木田工場有限公司","2012年","978-986-85353-9-8",,
,,"好觀點系列8 捕蝶人","玉米辰",,"木田工場有限公司","2014年","978-986-91412-0-8",,
,,"應用倫理評論",,,"桃園縣中壢市 : 國立中央大學哲學研究所","2018年","1028-2483(ISSN)",,"倫理學,期刊"
,,"樹的祕密生命","彼得.渥雷本(Peter Wohlleben)",,"商周出版","2016年","9789864770106",,"森林生態學,樹木"
,,"臺灣野生食用植物圖錄","/台灣植物同好會",,"玉山社","2009年","9789866789410",,"食用植物,植物圖鑑,臺灣"
,,"Home : 地球降溫手冊","揚‧亞祖-貝彤(Yann Arthus-Bertrand)",,"行人文化實驗室","2010年","9789868581029","無分類號","地球暖化,溫室效應,全球氣候變遷,環境保護"
,,"Home","揚‧亞祖-貝彤(Yann Arthus-Bertrand)",,"行人文化實驗室","2009年","978-986-85810-0-5",987.81,"紀錄片,環境保護"
,,"嚮往美感的讀書會 : 99則經營讀書會智慧心法","方隆彰",,"香海文化出版","2013年","9789866458699",,"讀書會"
,,"台灣常見蚯蚓、蛭類圖鑑","賴奕德",,"遠足文化","2018年","9789578630109",,"蚯蚓,蛭綱,植物圖鑑"
,,"最後一次相遇,我們只談喜悅","達賴喇嘛(Dalai Lama), 戴斯蒙.屠圖(Desmond Tutu), 道格拉斯.亞伯拉姆(Douglas Abrams)",,"天下雜誌出版","2017年","9789863982555",,"藏傳佛教,佛教修持,快樂"
,,"超圖解土壤的基礎知識","藤原俊六郎",,"晨星","2017年","9789864432332",434.2207,"土壤"
,,"希望之翼 : 倖存的奇蹟,以及雨林與我的故事","茱莉安‧柯普科(Juliane Koepcke)",,"橡樹林文化出版","2013年","9789866409523",,"傳記"
,,"一本真情,我在讀書會等你","王邦雄",,"遠流","2013年","9789573273066",,"讀書會"
,,"看懂臺灣的野花.－北、中部篇","葉子",,"時報文化","2016年","9789571365473",,"種子植物,植物圖鑑,臺灣"
,,"原來野花這麼美 : 從田野到巷弄,57款臺灣本土植物寫真,一起尋花、賞花趣。","葉子",,"麥浩斯出版","2015年","9789865680435",,"植物志,賞花,臺灣"
,,"原來喬木這麼美","葉子",,"麥浩斯出版","2016年","9789864081523",,"木本觀賞植物"
,,"和平飲食 : 素食理論的聖經","威爾‧塔托(Will Tuttle)",,"原水文化出版","2012年","9789866379611",,"飲食風俗,全球倫理,素食主義"
,,"臺灣的生態旅遊","楊秋霖",,"遠足文化","2007年","9789867630957",,"生態旅遊,臺灣,生態旅遊,描述與遊記"
,,"臺灣茶鄉之旅","坪林茶葉博物館",,"聯經","2004年","9570827947",,"茶業,臺灣,描述與遊記"
,,"解析公民投票","曹金增",,"五南","2004年","9571135526",,"公民投票"
,,"人與自然的對決","陳玉峯",,"晨星發行","1992年","9575832620",,"自然保育"
,,"生態臺灣","陳玉峰",,"晨星發行","1996年","957583531X",,"生態學,論文, 講詞等"
,,"人與自然的對決","陳玉峯",,"晨星發行","1992年","9575832620",,"自然保育"
,,"人文與生態","陳玉峰",,"前衛出版","1997年","9578011369",,"自然保育,臺灣,論文,講詞,文化"
,,"臺灣生態悲歌","陳玉峰",,"前衛","1997年","9578011377",,"生態學,論文,講詞,環境保護,臺灣"
,,"土地的苦戀","陳玉峰",,"晨星發行","1994年","9575833953",,"自然保育"
,,"21世紀臺灣主流的土石亂流 : 臺灣山地災變解析及災後人造孽","陳玉峰, 張豐年",,"前衛出版","2002年","9578013450",,"土石流,環境保護,文集"
,,"自然學習者的教育觀","陳玉峰",,"前衛出版","2004年","9578014376",,"高等教育,論文,講詞"
,,"亂世鴻爪","陳玉峰",,"淨心文教基金會","2006年","978-986-82559-0-6",,"環境保護,文集,自然保育"
,,"全民造林、全民找林 : 一位環境經濟學者的反思","吳佩瑛",,"新新臺灣文化教育基金會出版","2004年","9572975005",,"植物"
,,"台灣綠色傳奇","陳玉峰",,"張老師","1991年","9579486514",,"植物,生態,臺灣"
,,"私房菜","陳玉峰",,"前衛出版","2014年","9789578017351",,"言論集"
,,"環保神明大進擊 : 後勁反五輕世紀終戰前夕","陳玉峰",,"前衛出版","2014年","9789578017436",,"環境保護,社會運動,民間信仰"
,,"動物倫理與公共政策","費昌勇",,"臺灣商務","2002年","9570517131",,"動物保護"
,,"臺灣民俗植物 : 認識二十四節氣","吳憶萍",,"田野影像出版","2001年","9869998933",,"植物,臺灣"
,,"臺灣保育類野生動物圖鑑","鄭錫奇",,"南投縣集集鎮 : 行政院農業委員會特有生物研究保育中心","2003年","9570159405",,"稀有動物,臺灣,圖錄,動物保護"
,,"野生動物保育工作手冊 = Wildlife conservation handbook","翁嘉駿",,"行政院農業委員會林務局","2009年","9789860205626",,"野生動物保育,手冊,臺灣"
,,"臺灣種樹大圖鑑","羅宗仁",,"天下遠見出版","2007年","9864178458",,"樹木,臺灣,圖錄"
,,"臺灣種樹大圖鑑","羅宗仁",,"天下遠見出版","2007年","9864178466",,"樹木,臺灣,圖錄"
,,"被囚禁的臺灣 : 國共聯手構陷本土政權陰謀侵吞臺灣","袁紅冰",,":袁紅冰","2012年","9789574195169",,"臺灣政治,時事評論"
,,"都是愛迪生惹的禍 : 光害","林憲德",,"新自然主義出版","2009年","9789576966507",,"光,照明,環境保護"
,,"民國廢核元年 : 廢四核、清核廢,全國接力行腳(一)","陳玉峰",,"前衛出版","2013年","9789578017269",,"反核,核能"
,,"核電是騙人的 : 核工學者的真實證言","小出裕章",,"推守文化創意出版","2012年","9789866570773",,"核能發電,和能汙染,輻射防護"
,,"質性研究概論","Anselm Strauss & Juliet Corbin",,"巨流","1997年","957732083X",,"社會科學,統計方法"
,,"野花圖鑑 : 臺灣四百多種野花生態圖鑑","張永仁",,"遠流","2002年","9573247569",,"花卉,臺灣,圖錄"
,,"蕨類圖鑑 : 臺灣三百多種蕨類生態圖鑑","郭城孟",,"遠流","2001年","9573245205",,"蕨類植物,圖錄"
,,"蕨類入門","郭城孟",,"遠流","2002年","9789573245018",,"蕨類植物"
,,"一扇新門 : 道路.真理.生命","雷煥章",,"光啟文化","2014年","9789575467906",,"神學"
,,"人生經濟學 : 時間.空間.人與人之間","釋證嚴",,"天下遠見","2009年","9789862164532",,"佛教修持,人生哲學"
,,"美好的晚年","釋聖嚴",,"法鼓文化","2010年","9789575985035",,"傳記"
,,"看! 這就是生物學","麥爾(Ernst Mayr)",,"天下遠見出版","1999年","9576215447",,"生物學"
,,"動物大百科 : 與世界同步掌握最新的1000種動物生態 = Animals","羅曼納‧安德洛瓦(Romana Anderova)",,"臺北縣中和市 : 明天國際圖書","2008年","9789866658433",,"動物,通俗性讀物"
,,"臺灣花卉實用圖鑑","薛聰賢",,"薛聰賢出版","1999年","9789579702423",,"花卉,臺灣,圖錄"
,,"臺灣針葉樹學名之名詞解說 = A guide to Taiwan gymnosperm name related terminology","劉和義",,"行政院農業委員會林務局","208年","9789860153514",,"裸子植物,針葉林,生物命名"
,,"臺灣珍稀水生植物","黃朝慶",,"彰化縣環境保護聯盟","1999年","9579739358",,"水生植物,臺灣"
,,"臺灣維管束植物簡誌","郭城孟",,"行政院農業委員會","1997年","9570098325",,"維管植物,臺灣,蕨類植物"
,,"臺灣維管束植物簡誌","郭城孟",,"行政院農業委員會","1997年","9570098333",,"維管植物,臺灣,蕨類植物"
,,"臺灣維管束植物簡誌","郭城孟",,"行政院農業委員會","1997年","9570232242",,"維管植物,臺灣,蕨類植物"
,,"臺灣維管束植物簡誌","郭城孟",,"行政院農業委員會","1997年","9570253479",,"維管植物,臺灣,蕨類植物"
,,"綠色全球宣言","Michael Woodin ＆ Caroline Lucas",,"立緒文化","2005年","9867416252",,"國際經濟,經濟發展,環境保護"
,,"瑪哈希尊者傳","戒喜尊者",,"臺灣佛陀原始正法學會","2012年","9789868654624",,"馬哈希,佛教傳記,緬甸"
,,"森林植物生態學","劉棠瑞. 蘇鴻傑",,"臺灣商務","1983年","9570500182",,"森林生態學"
,,"大坑5-1步道 : 植物導覽手冊","范德政",,"臺中市大坑文化協會","2006年","9868174813",,"植物,臺灣"
,,"澎湖旅遊導覽手冊 = Penghu walker","澎湖縣政府",,"澎湖縣政府","2002年","9570116242",,"澎湖縣,描述與遊記"
,,"澎湖生態保育手冊","林長興",,"澎湖縣馬公市:澎縣府","2000年","957027037",,"自然保育,生物,澎湖縣"
,,"臺中縣太平市頭汴坑休閒農業區河川生態解說資源手冊","盧瑾源",,"臺中縣太平市農會","2010年","9789860229561",,"休閒農業區,生態旅遊,自然資源,解說"
,,"太平區頭汴坑休閒農業區 : 地質地形解說資源手冊","盧瑾源",,"臺中市太平區農會","2011年","9789860289046",,"休閒農業區,地質,地形,自然資源,解說"
,,"太平市頭汴坑休閒農業區夜間生態解說資源手冊","廖炯良, 盧瑾源",,"臺中縣太平市農會","2009年","9789860196184",,"休閒農業區,生態旅遊,自然資源,解說"
,,"臺中市太平區頭汴坑休閒農業區 : 枇杷的故鄉產業資源解說手冊","許彩梁, 黃實全",,"臺中市太平區農會","2013年","9789860390087",,"枇杷,解說"
,,"45種臺灣海岸濕地常見螃蟹圖鑑","劉烘昌，王嘉祥",,"北市野鳥學會","2010年","9789868204577",,"蟹,動物圖鑑,臺灣"
,,"臺中市太平區頭汴坑休閒農業區爬蟲類生態解說資源手冊","盧瑾源",,"臺中市太平區農會","2012年","9789860335835",,"爬蟲類,解說,臺中市"
,,"澳門苔蘚植物名錄 = Checklist of Macao bryophytes","澳門特別行政區民政總署園林綠化部深圳市仙湖植物園",,"澳門特別行政區民政總署園林綠化部","2009年","9799993700134",,"苔蘚植物,名錄,澳門特別行政區"
,,"認識校園危險動物","林文隆, 曾志明, 姚采宜",,"臺中市霧峰區吉峰國民小學","2012年","9789860335750",,"動物,臺灣"
,,"墾丁國家公園海岸植被","陳玉峰",,"墾丁國家公園管理處","1985年",,,"墾丁國家公園"
,,"阿里山森林鐵道(1912-1999). 車輛篇","蘇昭旭",,"人人月曆公司出版","2001年","957304000X",,"鐵路,臺灣,歷史,鐵路車輛,圖錄"
,,"馬祖植物誌 = Flora of Matsu","郭城孟",,"南竿鄉 : 連江縣政府","2004年","9570188413",,"植物,福建省連江縣,圖錄"
,,"阿里山 : 永遠的檜木霧林原鄉","陳玉峰, 陳月霞",,"前衛出版","2005年","9578014589",,"林業,臺灣,歷史,阿里山"
,,"台灣植被誌.第八卷，地區植被專論(一):大甲鎮植被","陳玉峰",,"前衛","2005年","9578014791",,"植物,台灣"
,,"藥用植物學","甘偉松",,"中國醫藥研究所","1969年",,,
,,"臺灣種子植物要覽","楊遠波",,"行政院農業委員會林務局","2008年","9789860173574",,"種子植物,台灣"
,,"臺灣種子植物科屬誌 = Family and genus flora of Taiwan seed plants","楊遠波",,"行政院農業委員會林務局","2009年","9789860223163",,"種子植物,台灣"
,,"植物分類學 : 臺灣維管束植物科誌","黃增泉",,"南天","1996年","9576383951",,"植物,分類,臺灣"
,,"全國搶救棲蘭檜木林運動誌","陳玉峰",,"愛智圖書公司","2000年",,,"森林保護,環境保護"
,,"環境倫理思想評析","鐘丁茂",,"皇家圖書","1999年","9579797404",,"環境科學,哲學,原理,環境保護,"
,,"空氣淨化工程學","陳世偉",,"中華水電冷凍空調雜誌","1990年",,,"空氣汙染"
,,"雪山森情","陳俐卉，陳重豪",,"台中縣和平鄉大雪山社區發展協會","2005年",,,
,,"情境越南","張坤州",,"生活家出版事業有限公司","2004年",,,
,,"庭園路旁耕地的花草","許建昌",,"臺灣省教育會","1975年",,,
,,"臺灣的禾草","許建昌",,"臺灣省教育會","1975年",,,
,,"圖解植物學辭典","詹姆斯‧吉‧哈里斯，米琳達‧沃爾芙‧哈里斯",,"科學出版社","2001年","7030095790",,
,,"鳳凰永隆村志","張志相",,"南投縣鹿谷鄉鳳凰國民小學","2001年",,,
,,"臺灣樹木圖誌 = Trees of Taiwan (第1卷 ; 精裝)","呂福原, 歐辰雄, 陳運造",,"臺中市 : 歐辰雄","2000年","957974730X",,"樹木,臺灣,圖錄"
,,"臺灣樹木圖誌 = Trees of Taiwan (第2卷 ; 精裝)","呂福原, 歐辰雄, 陳運造",,"臺中市 : 歐辰雄","2000年","9574133915",,"樹木,臺灣,圖錄"
,,"臺灣樹木圖誌 = Trees of Taiwan (第3卷 ; 精裝)","呂福原, 歐辰雄, 陳運造",,"臺中市 : 歐辰雄","2000年","9789574176335",,"樹木,臺灣,圖錄"
,,"lora of Taiwan : Gymnospermae, Angiospermae : supplement = 臺灣植物誌 : 裸子植物, 被子植物 : 補遺","Jenn-Che Wang and Chang-Tse Lu",,"Taipei : National Taiwan Normal University","1996年","9579019924",,"Gentianaceae,Taiwan,Plants"
,,"植物學名詞","植物學名詞審定委員會",,"科學出版社","1991年","703002724",,
,,"植物學名詞辭典 = English Chinese dictionary of botany","吳連生, 石啟耀",,"臺北市 : 名山出版","1985年",,,"植物學,字典, 辭典"
,,"行道樹管理","黃振文, 張豐年, 董時叡",,"臺中市 : 世維","1999年","9579903956",,"行道樹,管理,論文,講詞,都市美化"
,,"熹君低碳食譜","劉熹君",,"森田文化坊","2013年",,,
,,"佳龍帶你遊臺中 = visit Taichung","路寒袖",,"遠景出版","2014年","9789573909194",,"旅遊,臺中市"
,,"霧林之歌-宜蘭古道自然發現史","吳永華",,"行政院農業委員會林務局羅東林區管理處","2018年","978-986-05-6275-0",,"自然史,自然地理,宜蘭縣"
,,"農耕酵素手冊(第四版)",,,,,,,
,,"海鮮的美味輓歌","泰拉斯‧格雷斯哥(作者) 陳信宏(譯者)","林佩錦","時報文化出版企業股份有限公司","2018年","978-957-13-7428-4",,
,,"鳥的旅行","陳胤",,"彰化縣文化局","2016年","978-986-04-9745-8",,
,,"生態與旅行-台日當代作家研討會論文集","崔末順、吳佩珍、紀大偉(主編)",,"秀威資訊科技股份有限公司","2018年","978-986-96186-7-0",,"生態文學,旅遊文學,文學評論,文集"
,,"我們為何在此","史蒂芬‧霍金 等",,"香港科技大學、商務印書館","2018年","978-962-07-5791-4",,
,,"賈柏斯傳","華特‧艾薩克森",,"天下文化書坊","2011年","978-986-320-279-0",,"賈伯斯,蘋果公司,傳記,電腦資訊業"
,,"專業之死","湯姆‧尼可斯(作者) 劉煥昇(譯者)",,"臉譜出版","2018年","978-986-235-687-6",,"資訊社會,知識社會學"
,,"南方澳大戲院興亡史","邱坤良","蔡智豪","9/9少",,,,
,,"團隊，從傳球開始","伍登‧詹明信(作者) 周汶昊(譯者)",,"木馬文化事業股份有限公司","2015年","978-986-359-190-0",,"領導者,領導統御"
,,"香藥草植物圖鑑","張定霖、吳昭祥、洪進雄",,"行政院農業委員會種苗改良繁殖場","2003年","957-01-6047-0",,"香藥草植物圖鑑"
,,"半農半X的生活-順從自然，實踐天賦","塩見直紀(作者) 蘇楓雅(譯者)",,"天下遠見出版股份有限公司","2006年","986-417-795-8",,
,,"一整年不用錢-免費+自由 一個經濟系畢業生的不用錢生活實驗","馬克‧鮑伊(作者) 莊安祺(譯者)",,"大塊文化","2011年","978-986-213-2197",,"簡化生活,生活方式"
,,"311的釜石奇蹟-日本大地震中讓孩子全員生還的特別課程","NHK特別採訪小組",,"行人文化實驗室","2018年","978-986-95462-9-4",,"防災教育,地震,海嘯"
,,"人智-臺中-臺中學國際研討會論文集","社團法人臺灣生態城市暨國土規劃學會",,"臺中市政府研究發展考核委員會","2017年",,,
,,"從前從前有一座森林","婓德利克‧芒索(圖文) 徐麗松(譯者)",,"水滴文化","2016年","978-986-5730-33-8",,
,,"鹿谷鄉志(上)","林光演",,"南投縣鹿谷鄉公所","2009年","978-986-02-1684-4","733.9/119.9/123.1","方志,南投縣鹿谷鄉"
,,"鹿谷鄉志(下)","林光演",,"南投縣鹿谷鄉公所","2009年","978-986-02-1684-4","733.9/119.9/123.1","方志,南投縣鹿谷鄉"
,,"種回小林村的記憶","徐銘駿",,"高雄市杉林區日光小林社區發展協會","2017年","978-986-95852-1-7",536.33,"台灣原住民,台灣史,植物"
,,"浸水營古道-一條走過五百年的路","徐如林、楊南郡",,"行政院農業委員會林務局",2014,"978-986-04-0517-0",733.6,"自然地理,人文地理,浸水營古道"
,,"興隆淨寺(一)-1985之前","陳玉峯",,"愛智圖書有限公司","2011年","978-957-608-368-6",272.097,"寺廟,民間信仰,高雄市"
,,"航照樹語-台灣地區常見樹種立體像片對判釋","鄧國禎",,"行政院農業委員會林務局農林航空測量所","2015年","978-986-04-7084-0",440.981,"航空測量,航空攝影"
,,"微醺紫蝶","張桓嘉、蔡佳蓉、陳亭余 著 / 姚采宜 繪",,"行政院農業委員會林務局","2013年","978-986-03-8961-6",387.793,"蝴蝶,臺灣"
,,"學‧森林-使用說明","行政院農業委員會林務局",,"行政院農業委員會林務局","2018年","978-986-05-3920-2",436.12,"森林生態學,環境教育"
,,"學‧森林-森林經營與技術",,,,,,,
,,"學‧森林-當代環境議題","行政院農業委員會林務局",,"行政院農業委員會林務局","2018年","978-986-05-3920-2",436.12,"森林生態學,環境教育"
,,"學‧森林-森林文化與倫理","行政院農業委員會林務局",,"行政院農業委員會林務局","2018年","978-986-05-3920-2",436.12,"森林生態學,環境教育"
,,"學‧森林-森林生態與功能","行政院農業委員會林務局",,"行政院農業委員會林務局","2018年","978-986-05-3920-2",436.12,"森林生態學,環境教育"
,,"廢墟少年","李雪莉、簡永達",,"衛城出版","2018年","978-986-96817-6-6",578.13,"兒童保護,青少年問題,社會工作"
,,"能高越嶺道-穿越時空之旅","徐如林、楊南郡",,"行政院農業委員會林務局",2011,"978-986-05-1441-4",733.28,"臺灣史,賽德克族,霧社事件"
,,"合歡越嶺道-太魯閣戰爭與天險之路","徐如林、楊南郡",,"行政院農業委員會林務局","2016年","978-986-04-8840-1",733.6,"自然景觀,人文地理,合歡山越嶺古道"
,,"天氣100問-破解一百個不可思議的氣象秘密","天氣風險管理開發公司 著 / 陳彥伶 繪",,"親子天下股份有限公司","2018年","978-957-9095-64-8",308.22,"氣象,問題集"
,,"城市裁縫師-改變臺中的15個解決方案","林佳龍 等",,"臺中市政府","2018年","978-986-05-6771-7","575.33/115","公共行政,臺中市"
,,"應用倫理評論-專題：山林倫理","蔡智豪 等",,"國立中央大學哲學研究所/國立中央大學人文研究中心 共同發行","2018年",,,
,,"疾病的希望","托瓦爾特‧德特雷福仁/呂迪格‧達爾可 著 /易之新 譯 ",,"心靈工坊文化事業股份有限公司","2017年","978-986-357-095-0",415,"心身醫學,症候學"
,,"環境倫理學","霍爾姆斯‧羅爾斯頓 著 / 揚通進 譯",,"中國社會科學出版社","2000年","7-5004-2743-3",,
,,"生態倫理-精神資源與哲學基礎","何懷宏",,"河北大學出版社","2002年","7-81028-828-8",,
,,"咖啡.咖啡","陳胤",,"柳河文化工作室",2007,"9789572954416",855,"文學,散文"
,,"河口新樂園：生態遊戲書","陳勇輝、周淑芬",,"國立海洋生物博物館",2010,"978-986-02-4507-3",523.36,"生態教育,河口,教學遊戲,中小學教育"
,,"芳苑海牛","潘樵",,"彰化縣西海岸環境教育保育協會",2017,"978-986-95974-0-1","733.9/121.9/129.4","人文地理,彰化縣芳苑鄉"
,,"東西的故事","安妮‧雷納德(Annie Leonard)",,"時報文化出版",2010,"978-957-13-5214-5",541.2,"物質文化,消費"
,,"樹的秘密生命","彼得‧渥雷本(Peter Wohlleben)",,"城邦文化事業",2016,"978-986-477-010-6",436.12,"森林生態學,樹木"
,,"章魚，心智，演化：探尋大海及意識的起源","彼得‧戈福雷史密斯(Peter Godfrey-Smith)",,"紅樹林出版",2017,"978-986-7885-92-0",301,"科學哲學,意識,軟體動物"
,,"台灣常見 蚯蚓、蛭類圖鑑","賴亦德、陳俊宏",,"遠足文化",2018,"978-957-8630-10-9",386.696025,"蚯蚓,蛭類,動物圖鑑"
,,"台灣野生食用植物圖錄","台灣植物同好會",,"玉山社出版",2009,"978-986-6789-41-0",376.14025,"食用植物,植物圖鑑,臺灣"
,,"台灣行道樹圖鑑","陳俊雄、高瑞卿、郭信厚",,"貓頭鷹出版",2008,"978-986-6651-02-1",436.13333,"行道樹,圖錄,台灣"
,,"臺灣的生態系","李培芬",,"遠足文化",2008,"978-986-6731-16-7",367.8,"生態系,臺灣"
,,"綠色資本家：一個可永續企業的實踐典範","雷‧安德生(Ray C. Anderson)",,"新自然主義",2006,"978-957-696-613-2",490.15,"企業社會學,環境保護"
,,"臺灣的山脈","楊建夫",,"遠足文化",2001,"957-30493-6-8",683.32,"山岳,臺灣"
,,"台灣森林的故事","丁昶升等",,"農委會林務局",2005,"986-00-4042-7",992.8232,"森林遊樂,臺灣,描述與遊記"
,,"黑手玩家：手作與生活器物的美好交會","阿默、赤牛仔",,"張老師",2014,"978-957-693-844-3",999.9,"廢棄物利用,手工藝"
,,"海岸植被","陳玉峯",,"墾丁國家公園管理處",1985,,,
,,"零地點","伊格言",,"麥田出版",2013,"978-986-173-977-9",857.7,
,,"廢墟台灣","宋澤萊",,"前衛出版",2013,"978-957-801-729-0",863.57,
,,"森林 部落 人：太魯閣林業史","王鴻濬",,"行政院農業委員會花蓮林區管理處",2018,"978-986-05-6966-7",436.0933,"林業,歷史,花蓮縣"
,,"世界第一位樹醫生：約翰 戴維(John Davey)","張文亮",,"宇畝文化創意出版",2018,"978-957-8423-64-0",784.18,"戴維,傳記"
,,"和動物生活的四季：《所羅門王的指環》作者與灰雁共享自然的動物行為啟示","康拉德‧勞倫茲(Konrad Lorenz)",,"木馬文化出版",2019,"978-986-359-621-9",383.7,"動物行為"
,,"台灣原生植物全圖鑑(第一卷)","鐘詩文、許天銓",,"貓頭鷹出版",2016,"978-986-262-317-6",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第二卷)","許天銓、鐘詩文",,"貓頭鷹出版",2016,"978-986-262-308-4",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第三卷)","陳志輝、廖顯淳、林哲宇、葉修溢、吳聖傑、鐘詩文",,"貓頭鷹出版",2017,"978-986-262-328-2",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第四卷)","鐘詩文",,"貓頭鷹出版",2017,"978-986-262-337-4",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第五卷)","鐘詩文",,"貓頭鷹出版",2018,"978-986-262-342-8",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第六卷)","鐘詩文",,"貓頭鷹出版",2018,"978-986-262-352-7",375.233,"植物圖鑑,臺灣"
,,"台灣原生植物全圖鑑(第七卷)","鐘詩文",,"貓頭鷹出版",2018,"978-986-262-358-9",375.233,"植物圖鑑,臺灣"
,,"苦雨之地","吳明益",,"新經典圖文傳播",2019,"978-986-96892-7-4",857.63,
,,"三個小承諾預約更好的自己","大衛.汶萊(David J. Pollay)",,"大塊文化出版",2015,"978-986-213-609-6",494.35,"職場成功法,工作滿意度"
,,"不消費的一年：購物狂的重生之旅，擁有越少，得到更多","凱特‧弗蘭德斯(Cait Flanders)",,"遠流",2018,"978-957-32-8357-7",177.2,"自我實現,決策管理,生活指導"
,,"「蕃地」統治與「山地」行政：臺灣原住民族社會的地方化","松岡格",,"臺大出版中心",2018,"978-986-350-273-9",536.3307,"臺灣原住民,民族問題,日據時期"
